,name,album,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,length,popularity,country,gender,continent
0,Muévelo,Muévelo,Nicky Jam,0.594,0.8079999999999999,7,-2.4090000000000003,1,0.0489,0.415,1.39e-05,,0.919,,194892,4,2020-01-08,194892,79,Puerto Rico,male,North_America
1,La Playa - Remix,La Playa (Remix),Myke Towers,0.775,0.633,10,-3.332,0,0.133,0.201,0.0,,0.394,,250333,4,2020-01-03,250333,75,Puerto Rico,male,North_America
2,Me Gusta,Me Gusta,Shakira,0.775,0.696,1,-5.184,0,0.0681,0.0559,0.00184,,0.775,,190570,4,2020-01-13,190570,80,Colombia,female,South_America
3,Definitivamente,Definitivamente,Daddy Yankee,0.813,0.764,8,-3.39,0,0.105,0.586,0.0,,0.429,,217773,4,2020-01-31,217773,75,Puerto Rico,male,North_America
4,Dama y vagabundo,Dama y vagabundo,Nyno Vargas,0.696,0.836,9,-5.066,1,0.0439,0.517,0.0,,0.942,,184661,4,2020-01-24,184661,52,Spain,male,Europe
5,Perdiendo la Cabeza,Perdiendo la Cabeza,Carlos Rivera,0.7390000000000001,0.8370000000000001,2,-3.128,1,0.198,0.0917,0.0,,0.73,,165359,4,2020-01-31,165359,77,Mexico,male,North_America
6,Maldad (with Maluma),Maldad (with Maluma),Steve Aoki,0.598,0.809,1,-4.168,1,0.138,0.00179,8.41e-05,,0.653,,168159,4,2020-01-17,168158,62,USA,male,North_America
7,Viene y Va,Viene y Va,C. Tangana,0.8079999999999999,0.7190000000000001,7,-5.544,1,0.0485,0.269,7.840000000000001e-05,,0.892,,190000,4,2020-01-23,190000,63,Spain,male,Europe
8,La Cama - Remix,La Cama (Remix),Lunay,0.737,0.8320000000000001,2,-2.622,0,0.0798,0.12,0.0,,0.865,,330240,4,2020-03-27,330240,77,Puerto Rico,male,North_America
9,Medusa,Medusa,Jhay Cortez,0.887,0.598,0,-7.282,1,0.211,0.2,3.26e-06,,0.398,,305187,4,2020-02-05,305186,48,Puerto Rico,male,North_America
10,Dumebi - Becky G Remix,Dumebi (Becky G Remix),Rema,0.922,0.693,3,-3.105,0,0.0842,0.15,0.000278,,0.718,,187926,4,2020-02-13,187926,48,Uganda,male,Africa
11,Fantasias - Remix,Fantasias (Remix) [feat. Farruko & Lunay],Rauw Alejandro,0.816,0.72,1,-4.454,1,0.0684,0.206,0.0,,0.78,,267242,4,2020-03-06,267241,76,Puerto Rico,male,North_America
12,Blanco,Colores,J Balvin,0.872,0.6920000000000001,10,-5.376,1,0.187,0.0302,0.00761,,0.693,,145680,4,2020-03-19,145680,71,Colombia,male,South_America
13,Muchacha,Muchacha,Gente De Zona,0.83,0.8370000000000001,11,-4.789,0,0.141,0.0784,5.870000000000001e-05,,0.7440000000000001,,200690,4,2020-04-23,200689,71,Cuba,male,North_America
14,Caramelo,Caramelo,Ozuna,0.728,0.8059999999999999,6,-3.766,1,0.0623,0.0531,0.000301,,0.698,,217547,4,2020-06-11,217546,87,Puerto Rico,male,North_America
15,Keii,Keii,Anuel AA,0.708,0.797,0,-3.095,0,0.0391,0.4,0.0,,0.51,,210000,4,2020-02-07,210000,75,Puerto Rico,male,North_America
16,Mala Fama,SIE7E +,Danna Paola,0.765,0.574,6,-4.36,0,0.0926,0.182,1.04e-05,,0.815,,182600,4,2020-02-07,182600,78,Mexico,female,North_America
17,Fútbol & Rumba (feat. Enrique Iglesias),Fútbol & Rumba (feat. Enrique Iglesias),Anuel AA,0.735,0.916,2,-2.082,1,0.117,0.397,2.91e-06,,0.691,,221429,4,2020-05-28,221428,51,Puerto Rico,male,North_America
18,Rojo,Colores,J Balvin,0.6629999999999999,0.598,11,-4.042,1,0.17,0.193,8.02e-05,,0.4,,150720,4,2020-03-19,150720,80,Colombia,male,South_America
19,ADMV - Versión Urbana,ADMV (Versión Urbana),Maluma,0.733,0.591,9,-4.046,1,0.14800000000000002,0.217,0.0,,0.5489999999999999,,185263,4,2020-05-15,185263,73,Colombia,male,South_America
20,Qué Chimba,Qué Chimba,Maluma,0.726,0.949,7,-3.4160000000000004,1,0.0805,0.0112,0.00193,,0.595,,169741,4,2020-03-13,169740,71,Colombia,male,South_America
